lsoacode_2011,totalpop_2015
E01000881,1675
E01000882,1788
E01000883,1573
E01000884,1607
E01000885,1510
E01000886,1691
E01000887,1606
E01000888,1764
E01000889,1887
E01000890,1840
E01000891,1792
E01000892,2093
E01000893,1618
E01000894,1490
E01000895,1791
E01000896,1888
E01000897,1738
E01000898,2072
E01000899,1941
E01000900,1985
E01000901,2351
E01000902,1739
E01000903,1651
E01000904,2458
E01000905,2219
E01000906,1597
E01000907,1548
E01000908,1732
E01000909,1741
E01000910,1653
E01000911,1726
E01000912,1791
E01000913,1850
E01000914,2013
E01000915,1653
E01000916,2228
E01000917,2067
E01000918,2198
E01000919,2176
E01000920,2107
E01000921,2287
E01000922,1829
E01000923,1630
E01000924,1753
E01000925,1730
E01000926,1885
E01000927,1918
E01000928,1815
E01000929,2006
E01000930,2177
E01000931,2217
E01000932,1780
E01000933,1911
E01000934,1835
E01000935,1547
E01000936,1835
E01000937,1626
E01000938,1949
E01000939,1376
E01000940,1354
E01000941,1283
E01000942,1905
E01000943,907
E01000944,2042
E01000945,1548
E01000946,1923
E01000947,1978
E01000948,1861
E01000949,1746
E01000950,1450
E01000951,1612
E01000952,1819
E01000953,2783
E01000954,1882
E01000955,1642
E01000956,1834
E01000957,1645
E01000958,2852
E01000959,1661
E01000960,1979
E01000961,1855
E01000962,1760
E01000963,2235
E01000964,1712
E01000965,1733
E01000966,1549
E01000967,1552
E01000968,1489
E01000969,2189
E01000970,1628
E01000971,1593
E01000972,2265
E01000973,2280
E01000974,2004
E01000975,1608
E01000976,2055
E01000977,1675
E01000978,1795
E01000979,1766
E01000980,1257
E01000981,1768
E01000982,1656
E01000983,1704
E01000984,1858
E01000985,1460
E01000986,1734
E01000987,1487
E01000989,1713
E01000990,1491
E01000991,1644
E01000992,2017
E01000993,1702
E01000994,1510
E01000995,1779
E01000996,1211
E01000997,1365
E01000998,1560
E01000999,1269
E01001000,1341
E01001001,1252
E01001002,1419
E01001003,1685
E01001004,2229
E01001005,1629
E01001006,1597
E01001007,2063
E01001008,1739
E01001009,1957
E01001010,1631
E01001011,2106
E01001012,2014
E01001013,2106
E01001014,3782
E01001015,1534
E01001016,1770
E01001017,1654
E01001018,1579
E01001019,1560
E01001020,1668
E01001021,1405
E01001022,1486
E01001023,1368
E01001024,1380
E01001025,1296
E01001026,1893
E01001027,1618
E01001028,1555
E01001029,1697
E01001030,1408
E01001031,1467
E01001032,1475
E01001033,1746
E01001034,1638
E01001035,1873
E01001036,1548
E01001037,1346
E01001038,1924
E01001039,1507
E01001040,1855
E01001041,1642
E01001042,2046
E01001043,2925
E01001044,1943
E01001045,2169
E01001046,1764
E01001047,1792
E01001048,2484
E01001049,1529
E01001050,1692
E01001051,1576
E01001052,1402
E01001053,1581
E01001054,1691
E01001055,1576
E01001056,1910
E01001057,1916
E01001058,1326
E01001059,1446
E01001060,1647
E01001061,1570
E01001062,1492
E01001063,1557
E01001064,1600
E01001065,1378
E01001066,1417
E01001067,1746
E01001068,1921
E01001069,1361
E01001070,1834
E01001071,2027
E01001072,1473
E01001073,1478
E01001074,2129
E01001075,1648
E01001076,1736
E01001077,1371
E01001078,1524
E01001079,1786
E01001080,1660
E01001081,1461
E01001082,1580
E01001083,1648
E01001084,1878
E01001085,1748
E01001086,1732
E01001087,2506
E01001088,1805
E01001089,2010
E01001090,2409
E01001091,1674
E01001092,1841
E01001093,1828
E01001094,1539
E01001095,1507
E01001096,1473
E01001097,2456
E01001098,1499
E01001099,1507
E01001100,1494
E01001101,1363
E01001102,1567
E01001103,1685
E01001104,1708
E01001105,1749
E01001106,1562
E01001107,1690
E01001108,1809
E01001109,2175
E01001110,1928
E01001111,1663
E01001112,1943
E01001113,1867
E01001114,1446
E01001115,1662
E01001116,1347
E01001117,3253
E01001118,1892
E01001119,1438
E01001120,1298
E01001121,1348
E01001122,1562
E01001123,1550
E01001124,1569
E01001125,1685
E01001126,1419
E01001127,1551
E01001128,1641
E01001129,1410
E01001130,1847
E01001131,1643
E01001132,1487
E01001133,1527
E01001134,1658
E01001135,1748
E01001136,2107
E01001137,2005
E01001138,1569
E01001139,1662
E01001140,1696
E01001141,1332
E01001142,1806
E01001143,2082
E01001144,1646
E01001145,1902
E01001146,1620
E01001147,1772
E01001148,1666
E01001149,1572
E01001150,1794
E01001151,1756
E01001152,1788
E01001153,1540
E01001154,2023
E01001155,1767
E01001156,1749
E01001157,1717
E01001158,1714
E01001159,1943
E01001160,1991
E01001161,1802
E01001162,1849
E01001163,2066
E01001164,2184
E01001165,1741
E01001166,2001
E01001167,2161
E01001168,1845
E01001169,1724
E01001170,2130
E01001171,1866
E01001172,2124
E01001173,2806
E01001174,1606
E01001175,1644
E01001176,1953
E01001177,1654
E01001178,1408
E01001179,1591
E01001180,1840
E01001181,2095
E01001182,1391
E01001183,1780
E01001184,1309
E01001185,1648
E01001186,1828
E01001187,2131
E01001188,1965
E01001189,1236
E01001190,1596
E01001191,1950
E01001192,1787
E01001193,1766
E01001194,1663
E01032569,1777
E01001195,1850
E01001196,1783
E01001197,1829
E01001198,1569
E01001199,1809
E01001200,1548
E01001201,1658
E01001202,2311
E01001203,1727
E01001204,1540
E01001205,1524
E01001206,1459
E01001207,1637
E01001208,1328
E01001209,1636
E01001210,1633
E01001211,1692
E01001212,1765
E01001213,1933
E01001214,1791
E01001215,1906
E01001216,1643
E01001217,1511
E01001218,1909
E01001219,1966
E01001220,1347
E01001221,2300
E01001222,2527
E01001223,1471
E01001224,1588
E01001225,1702
